Country,Currency,Date,Exchange_Rate,Base_Currency,Timestamp
SEN,XOF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
SGP,SGD,202512,0.774233508826262,USD,2026-01-18T11:15:50.516731
SLV,USD,202512,1.0,USD,2026-01-18T11:15:50.516731
SMR,EUR,202512,1.170871428571428,USD,2026-01-18T11:15:50.516731
SRB,RSD,202512,0.0099778889979804,USD,2026-01-18T11:15:50.516731
SWE,SEK,202512,0.1073576203109882,USD,2026-01-18T11:15:50.516731
SWZ,SZL,202512,0.0593325000004598,USD,2026-01-18T11:15:50.516731
SXM,XCG,202512,0.558659217877095,USD,2026-01-18T11:15:50.516731
TCD,XAF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
TGO,XOF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
THA,THB,202512,0.0316888258703771,USD,2026-01-18T11:15:50.516731
TLS,USD,202512,1.0,USD,2026-01-18T11:15:50.516731
TTO,TTD,202512,0.1481868283079181,USD,2026-01-18T11:15:50.516731
TUR,TRY,202512,0.0234617981568638,USD,2026-01-18T11:15:50.516731
TUV,AUD,202512,0.663733333333333,USD,2026-01-18T11:15:50.516731
TWN,TWD,202512,0.0318562645344206,USD,2026-01-18T11:15:50.516731
UGA,UGX,202512,0.0002797023729428,USD,2026-01-18T11:15:50.516731
UKR,UAH,202512,0.023696738617864,USD,2026-01-18T11:15:50.516731
URY,UYU,202512,0.0255469277903312,USD,2026-01-18T11:15:50.516731
USA,USD,202512,1.0,USD,2026-01-18T11:15:50.516731
UZB,UZS,202512,8.320645020696534e-05,USD,2026-01-18T11:15:50.516731
VCT,XCD,202512,0.3703703703703704,USD,2026-01-18T11:15:50.516731
ZAF,ZAR,202512,0.0593325000004598,USD,2026-01-18T11:15:50.516731
